_id,created,public,publication_authors,publication_created,publication_doi,publication_done,publication_journal,publication_pmid,publication_skip,publication_title,publication_updated,publication_year,score,updated,uuid,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year
6613fe1f1502715bfe53d929,2024-04-08T14:24:31.559Z,True,"Bandyopadhyay S, Mitra R. ",,10.1093/bioinformatics/btp503,,Bioinformatics,19692556,,TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,,2009,0.95,2024-04-08T14:24:31.559Z,b05d78bd-b870-43e2-8313-2c6e8cc7a91a,"Bandyopadhyay S, Mitra R. ",,,,TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,,,"Bandyopadhyay S, Mitra R. ",,,,TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,,,"Bandyopadhyay S, Mitra R. ",,,,TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,,,"Bandyopadhyay S, Mitra R. ",,,,TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,,,"Bandyopadhyay S, Mitra R. ",,,,TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,,
63516fedb9c880af1f305b9d,2022-09-01T15:16:05.445Z,True,"Yang Y, Zhao J, Morgan RL, Ma W, Jiang T",,10.1186/1471-2105-11-S1-S47,0.0,BMC Bioinformatics,20122221,0.0,Computational prediction of type III secreted proteins from gram-negative bacteria.,02/07/2022 18:57:16,2010,0.67,2022-09-01T15:16:05.445Z,ed449019-062c-4769-99ec-83a325549f96,"Yang Y, Zhao J, Morgan RL, Ma W, Jiang T",,BMC Bioinformatics,,Computational prediction of type III secreted proteins from gram-negative bacteria.,02/07/2022 18:57:16,,"Yang Y, Zhao J, Morgan RL, Ma W, Jiang T",,BMC Bioinformatics,,Computational prediction of type III secreted proteins from gram-negative bacteria.,02/07/2022 18:57:16,,"Yang Y, Zhao J, Morgan RL, Ma W, Jiang T",,BMC Bioinformatics,,Computational prediction of type III secreted proteins from gram-negative bacteria.,02/07/2022 18:57:16,,"Yang Y, Zhao J, Morgan RL, Ma W, Jiang T",,BMC Bioinformatics,,Computational prediction of type III secreted proteins from gram-negative bacteria.,02/07/2022 18:57:16,,"Yang Y, Zhao J, Morgan RL, Ma W, Jiang T",,BMC Bioinformatics,,Computational prediction of type III secreted proteins from gram-negative bacteria.,02/07/2022 18:57:16,
63516fedb9c880af1f305bb6,2022-09-01T15:16:05.446Z,True,"Eng K, Scouten-Ponticelli SK, Sutton M, Berdis A",,10.1021/cb900218c,0.0,ACS Chem Biol,19994907,0.0,Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.,03/24/2022 13:42:10,2010,0.67,2022-09-01T15:16:05.446Z,8bb488cc-4a32-481c-8c5c-82e9d7990c0e,"Eng K, Scouten-Ponticelli SK, Sutton M, Berdis A",,ACS Chem Biol,,Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.,03/24/2022 13:42:10,,"Eng K, Scouten-Ponticelli SK, Sutton M, Berdis A",,ACS Chem Biol,,Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.,03/24/2022 13:42:10,,"Eng K, Scouten-Ponticelli SK, Sutton M, Berdis A",,ACS Chem Biol,,Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.,03/24/2022 13:42:10,,"Eng K, Scouten-Ponticelli SK, Sutton M, Berdis A",,ACS Chem Biol,,Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.,03/24/2022 13:42:10,,"Eng K, Scouten-Ponticelli SK, Sutton M, Berdis A",,ACS Chem Biol,,Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.,03/24/2022 13:42:10,
63516fedb9c880af1f305b3b,2022-09-01T15:16:05.443Z,True,"Akella LM, Norton CN, Miller H",,10.1186/1471-2105-13-211,0.0,BMC Bioinformatics,22913485,0.0,NetiNeti: discovery of scientific names from text using machine learning methods.,02/11/2022 16:40:03,2012,0.71,2022-09-01T15:16:05.443Z,b879f61f-b41d-4e82-ad6e-fd33b4e669f1,"Akella LM, Norton CN, Miller H",,BMC Bioinformatics,,NetiNeti: discovery of scientific names from text using machine learning methods.,02/11/2022 16:40:03,,"Akella LM, Norton CN, Miller H",,BMC Bioinformatics,,NetiNeti: discovery of scientific names from text using machine learning methods.,02/11/2022 16:40:03,,"Akella LM, Norton CN, Miller H",,BMC Bioinformatics,,NetiNeti: discovery of scientific names from text using machine learning methods.,02/11/2022 16:40:03,,"Akella LM, Norton CN, Miller H",,BMC Bioinformatics,,NetiNeti: discovery of scientific names from text using machine learning methods.,02/11/2022 16:40:03,,"Akella LM, Norton CN, Miller H",,BMC Bioinformatics,,NetiNeti: discovery of scientific names from text using machine learning methods.,02/11/2022 16:40:03,
63516fedb9c880af1f305b3c,2022-09-01T15:16:05.443Z,True,"Pratt AG, Swan DC, Richardson S, Wilson G, Hilkens CM, Young DA, Isaacs JD",,10.1136/annrheumdis-2011-200968,0.0,Ann Rheum Dis,22532634,0.0,"A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.",05/20/2022 15:57:36,2012,0.81,2022-09-01T15:16:05.443Z,74f23aa2-985c-49d2-9a0d-0d7b3e0f4bda,"Pratt AG, Swan DC, Richardson S, Wilson G, Hilkens CM, Young DA, Isaacs JD",,Ann Rheum Dis,,"A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.",05/20/2022 15:57:36,,"Pratt AG, Swan DC, Richardson S, Wilson G, Hilkens CM, Young DA, Isaacs JD",,Ann Rheum Dis,,"A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.",05/20/2022 15:57:36,,"Pratt AG, Swan DC, Richardson S, Wilson G, Hilkens CM, Young DA, Isaacs JD",,Ann Rheum Dis,,"A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.",05/20/2022 15:57:36,,"Pratt AG, Swan DC, Richardson S, Wilson G, Hilkens CM, Young DA, Isaacs JD",,Ann Rheum Dis,,"A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.",05/20/2022 15:57:36,,"Pratt AG, Swan DC, Richardson S, Wilson G, Hilkens CM, Young DA, Isaacs JD",,Ann Rheum Dis,,"A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.",05/20/2022 15:57:36,
63516fedb9c880af1f305b84,2022-09-01T15:16:05.445Z,True,"Zhao X, Ma Z, Yin M",,10.3390/ijms13022196,0.0,Int J Mol Sci,22408447,0.0,Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.,01/31/2022 11:13:16,2012,0.67,2022-09-01T15:16:05.445Z,052c537c-d355-4d83-9a5b-2587a9451a4d,"Zhao X, Ma Z, Yin M",,Int J Mol Sci,,Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.,01/31/2022 11:13:16,,"Zhao X, Ma Z, Yin M",,Int J Mol Sci,,Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.,01/31/2022 11:13:16,,"Zhao X, Ma Z, Yin M",,Int J Mol Sci,,Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.,01/31/2022 11:13:16,,"Zhao X, Ma Z, Yin M",,Int J Mol Sci,,Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.,01/31/2022 11:13:16,,"Zhao X, Ma Z, Yin M",,Int J Mol Sci,,Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.,01/31/2022 11:13:16,
63516fedb9c880af1f305bad,2022-09-01T15:16:05.446Z,True,"Wrzodek C, Büchel F, Hinselmann G, Eichner J, Mittag F, Zell A",,10.1371/journal.pone.0035327,0.0,PLoS One,22558141,0.0,Linking the epigenome to the genome: correlation of different features to DNA methylation of CpG islands.,03/24/2022 11:24:39,2012,0.62,2022-09-01T15:16:05.446Z,c3ffe65b-e1f7-4326-a75c-44891ea42eb2,"Wrzodek C, Büchel F, Hinselmann G, Eichner J, Mittag F, Zell A",,PLoS One,,Linking the epigenome to the genome: correlation of different features to DNA methylation of CpG islands.,03/24/2022 11:24:39,,"Wrzodek C, Büchel F, Hinselmann G, Eichner J, Mittag F, Zell A",,PLoS One,,Linking the epigenome to the genome: correlation of different features to DNA methylation of CpG islands.,03/24/2022 11:24:39,,"Wrzodek C, Büchel F, Hinselmann G, Eichner J, Mittag F, Zell A",,PLoS One,,Linking the epigenome to the genome: correlation of different features to DNA methylation of CpG islands.,03/24/2022 11:24:39,,"Wrzodek C, Büchel F, Hinselmann G, Eichner J, Mittag F, Zell A",,PLoS One,,Linking the epigenome to the genome: correlation of different features to DNA methylation of CpG islands.,03/24/2022 11:24:39,,"Wrzodek C, Büchel F, Hinselmann G, Eichner J, Mittag F, Zell A",,PLoS One,,Linking the epigenome to the genome: correlation of different features to DNA methylation of CpG islands.,03/24/2022 11:24:39,
63516fedb9c880af1f305b3d,2022-09-01T15:16:05.443Z,True,"González-Recio O, Jiménez-Montero JA, Alenda R",,10.3168/jds.2012-5630,0.0,J Dairy Sci,23102953,0.0,The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.,03/08/2022 14:59:55,2013,0.67,2022-09-01T15:16:05.443Z,7f0eb63d-7a88-4b70-82f9-857b0399a39f,"González-Recio O, Jiménez-Montero JA, Alenda R",,J Dairy Sci,,The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.,03/08/2022 14:59:55,,"González-Recio O, Jiménez-Montero JA, Alenda R",,J Dairy Sci,,The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.,03/08/2022 14:59:55,,"González-Recio O, Jiménez-Montero JA, Alenda R",,J Dairy Sci,,The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.,03/08/2022 14:59:55,,"González-Recio O, Jiménez-Montero JA, Alenda R",,J Dairy Sci,,The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.,03/08/2022 14:59:55,,"González-Recio O, Jiménez-Montero JA, Alenda R",,J Dairy Sci,,The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.,03/08/2022 14:59:55,
63516fedb9c880af1f305bb2,2022-09-01T15:16:05.446Z,True,"Ultsch A, Lötsch J",,10.1186/1471-2164-15-976,0.0,BMC Genomics,25404408,0.0,What do all the (human) micro-RNAs do?,03/28/2022 23:06:53,2014,0.52,2022-09-01T15:16:05.446Z,98d8027e-41f2-4b54-8fd6-20c9b51e7bdf,"Ultsch A, Lötsch J",,BMC Genomics,,What do all the (human) micro-RNAs do?,03/28/2022 23:06:53,,"Ultsch A, Lötsch J",,BMC Genomics,,What do all the (human) micro-RNAs do?,03/28/2022 23:06:53,,"Ultsch A, Lötsch J",,BMC Genomics,,What do all the (human) micro-RNAs do?,03/28/2022 23:06:53,,"Ultsch A, Lötsch J",,BMC Genomics,,What do all the (human) micro-RNAs do?,03/28/2022 23:06:53,,"Ultsch A, Lötsch J",,BMC Genomics,,What do all the (human) micro-RNAs do?,03/28/2022 23:06:53,
63516fedb9c880af1f305bb4,2022-09-01T15:16:05.446Z,True,"Mahony S, Edwards MD, Mazzoni EO, Sherwood RI, Kakumanu A, Morrison CA, Wichterle H, Gifford DK",,10.1371/journal.pcbi.1003501,0.0,PLoS Comput Biol,24675637,0.0,An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.,03/08/2022 13:05:23,2014,0.62,2022-09-01T15:16:05.446Z,8067befa-adce-4b5a-9da3-d16a3566a794,"Mahony S, Edwards MD, Mazzoni EO, Sherwood RI, Kakumanu A, Morrison CA, Wichterle H, Gifford DK",,PLoS Comput Biol,,An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.,03/08/2022 13:05:23,,"Mahony S, Edwards MD, Mazzoni EO, Sherwood RI, Kakumanu A, Morrison CA, Wichterle H, Gifford DK",,PLoS Comput Biol,,An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.,03/08/2022 13:05:23,,"Mahony S, Edwards MD, Mazzoni EO, Sherwood RI, Kakumanu A, Morrison CA, Wichterle H, Gifford DK",,PLoS Comput Biol,,An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.,03/08/2022 13:05:23,,"Mahony S, Edwards MD, Mazzoni EO, Sherwood RI, Kakumanu A, Morrison CA, Wichterle H, Gifford DK",,PLoS Comput Biol,,An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.,03/08/2022 13:05:23,,"Mahony S, Edwards MD, Mazzoni EO, Sherwood RI, Kakumanu A, Morrison CA, Wichterle H, Gifford DK",,PLoS Comput Biol,,An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.,03/08/2022 13:05:23,
63516fedb9c880af1f305bb5,2022-09-01T15:16:05.446Z,True,"Xu R, Zhou J, Liu B, Yao L, He Y, Zou Q, Wang X",,10.1155/2014/294279,0.0,Biomed Res Int,24977146,0.0,enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.,03/15/2022 11:52:26,2014,0.48,2022-09-01T15:16:05.446Z,37b6eb38-2c74-40e9-9f75-95d27907ae41,"Xu R, Zhou J, Liu B, Yao L, He Y, Zou Q, Wang X",,Biomed Res Int,,enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.,03/15/2022 11:52:26,,"Xu R, Zhou J, Liu B, Yao L, He Y, Zou Q, Wang X",,Biomed Res Int,,enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.,03/15/2022 11:52:26,,"Xu R, Zhou J, Liu B, Yao L, He Y, Zou Q, Wang X",,Biomed Res Int,,enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.,03/15/2022 11:52:26,,"Xu R, Zhou J, Liu B, Yao L, He Y, Zou Q, Wang X",,Biomed Res Int,,enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.,03/15/2022 11:52:26,,"Xu R, Zhou J, Liu B, Yao L, He Y, Zou Q, Wang X",,Biomed Res Int,,enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.,03/15/2022 11:52:26,
