shortid,_id,created,public,score,updated,uuid,publication_authors,publication_created,publication_doi,publication_done,publication_journal,publication_pmid,publication_skip,publication_title,publication_updated,publication_year,matches_dataset/availability,matches_dataset/provenance,matches_dataset/redundancy,matches_dataset/splits,matches_optimization/algorithm,matches_optimization/config,matches_optimization/encoding,matches_optimization/features,matches_optimization/fitting,matches_optimization/meta,matches_optimization/parameters,matches_optimization/regularization,matches_model/availability,matches_model/duration,matches_model/interpretability,matches_model/output,matches_evaluation/availability,matches_evaluation/comparison,matches_evaluation/confidence,matches_evaluation/measure,matches_evaluation/method
217brrych3,63516fedb9c880af1f305b43,2022-09-01T15:16:05.443Z,True,0.86,2022-09-01T15:16:05.443Z,c61651cd-193f-4b5e-aa19-77eed7eb2649,"Han X, Chen S, Flynn E, Wu S, Wintner D, Shen Y",,10.1038/s41467-018-04552-7,0.0,Nat Commun,29849042,0.0,Distinct epigenomic patterns are associated with haploinsufficiency and predict risk genes of developmental disorders.,03/04/2022 12:54:32,2018,"preprocessed data: https://drive.google.com/file/d/1JBp9RH9-yBEdtkNYDi6wWL79o62JD5Td/view   

","two public COVID-19 CT datasets: 
 -   https://www.medrxiv.org/content/10.1101/2020.04.24.20078584v3
2482 CT images from 120 patients,  N_pos 1252, N_neg 1230

 -   http://arxiv.org/abs/2003.13865
N_pos 349 CT images from 216 patients, 
N_neg 397 CT images from 171 patients",,,"deep learning, novel approach",implemented with PyTorch [38] using an Nvidia TITAN Xp GPU.,"datasets, all images are first resized to 224 × 224 in axial plane,",,,,"Batch Normalization


",,,,color maps using Grad-CAM,,,"firstly comparision to COVID-Net method https://doi.org/10.1038/s41598-020-76550-z (Scientific Reports) by ROC AUC
 further comparisions by p-value:
  - Series-Adapter https://scholar.google.com/scholar?as_q=Learning+multiple+visual+domains+with+residual+adapters&as_occt=title&hl=en&as_sdt=0%2C31 
  - Parallel-Adapter https://ieeexplore.ieee.org/document/8578945
  - MS-Net https://doi.org/10.1038/s41598-020-76550-z","outperforming the original
 COVID-Net trained on each dataset by 12.16% and 14.23%
 in AUC respectively,","Accuracy, F1 score, Sensitivity, Precision, AUC",four-fold cross-validation
vecnt31t10,63516fedb9c880af1f305b44,2022-09-01T15:16:05.443Z,True,0.52,2022-09-01T15:16:05.443Z,706c0f3d-b856-473d-9864-c48e3733bceb,"Caglar MU, Hockenberry AJ, Wilke CO",,10.1371/journal.pone.0206634,0.0,PLoS One,30388153,0.0,Predicting bacterial growth conditions from mRNA and protein abundances.,03/06/2022 19:15:35,2018,,"Breast magnetic resonance imaging (MRI) and clinical data from 311 HER2 overexpressing breast cancer patients. 
1)        Patients were classified into two groups based on HER2 expression level. Npos=279 patients with tumours that showed HER2 protein overexpression on immunohistochemistry (IHC 3+; IHC group). Nneg=32 patients with tumours that showed HER2 gene amplification detected by FISH in the absence of protein overexpression on IHC (IHC 2+ or 1+ to 2+; FISH group).
2)        Npos=188 patients with pathologic complete response (pCR), which was defined as no residual invasive carcinoma in the breast or axillary lymph nodes (ypT0/isN0) at surgical resection. Nneg=123 patients that are non-pCR.
",Inclusion criteria for this study were HER2 overexpressing breast cancer patients who underwent not reportedC and pretreatment state-of-the-art contrast-enhanced breast MRI. 70 were excluded because they did not have pretreatment breast MRI and 64 patients with outside images were excluded because of poor image quality.,"For the prediction of pathological complete response, the data was split into training and test sets at a ratio of 4:1 (80% training and 20% test), with feature selection performed purely on the training set. Npos,train=150 patients with pCR. Npos,test=38 patients with pCR. Nneg,train=99 patients with non-pCR. Nneg,test=24 patients with non-pCR. 
Due to the low number of cases in the minority class, this was not feasible for the comparison between the IHC and FISH groups.",Coarse decision trees,,"Following ROC and correlation analysis, Breast MRIs were assessed according to the American College of Radiology (ACR) Breast Imaging Reporting and Data System (BI-RADS) lexicon.

Manual, expert review on the MRI exams and performed 3D segmentations of the whole tumour in the first post-contrast non-subtracted sequence using ITK-Snot reportedP software.

Susceptibility artefacts related to post-biopsy changes, when
present, were excluded from segmentation and only the largest
lesion was segmented in multifocal tumours. 

Enhancement maps were calculated as the percentage increase in signal from the pre-contrast image to the first post-contrast image. Radiomics and statistical analysis were performed using MATLAB and publicly available CERR (Computational Environment for Radiological Research) software.

Furthermore, data was reduced to a fixed bin number of 16 grey levels and only an interpixel distance of one was considered. CERR analysis resulted in 102 texture parameters sub-divided into six categories - 22 first order statistics, 26 statistics based on grey level cooccurrence matrices, 16 statistics based on run length matrices, 16 statistics based on size zone matrices, 17 statistics based on neighborhood grey level dependence matrices, and finally five statistics based on neighborhood grey tone difference matrices.

Features were computed for each 2D directional matrix and averaged over 2D directions and slices, since data was not isotropic. As patients were scanned at different sites, Combat harmonisation was performed to remove the centre effect (local vs. foreign scans) while retaining the pathophysiologic information (either HER2 expression or pathologic response). The harmonisation employed Bayes estimates to account for both additive and multiplicative scanner effects.

Univariate analysis was performed to identify significant parameters. Continuous variables were described as mean, standard deviation (SD), and range. The two-tailed Mann-Whitney U test for two independent samples was used to determine significant differences between groups. Correlation analysis was then employed to remove redundant parameters from advancement to model development. If a highly positive (> 0.9) or highly negative (< -0.9) correlation was noted, the parameter with the lowest area under the receiver operating curve (AUROC) was removed.
","1)	The final model to predict HER2 intratumour expression levels (IHC vs. FISH) utilized three MRI features. Lesion type and multifocality (clinical features) and large zone emphasis (radiomic feature).
2)	The model to predict pCR status included six MRI parameters. Lesion type and size (clinical parameters) and variance, first order entropy, 90th percentile and zone length variance (radiomic parameters).
",,,"Coarse decision tree modelling was implemented in MATLAB, with the maximum number of splits set at four and utilizing Gini’s diversity index as the splitting criterion.",,,,"Transparent. Assessing the presence of statistically significant differences, using Mann-Whitney U-test and Chi-squared test, across clinical and MRI features of 1) IHC vs FISH and 2) pCR vs non-pCR groups, before including them to the final model.","1) Binary predictions of IHC (positive) or FISH (negative) samples.
 2) Binary predictions of pCR (positive) or non-pCR (negative) samples.",,,,"Sensitivity, specificity, diagnostic accuracy",5-fold cross validation
qxfdrs4tuj,63516fedb9c880af1f305b45,2022-09-01T15:16:05.443Z,True,0.57,2022-09-01T15:16:05.443Z,f792fa0e-c332-4321-9ab0-a504c495e7c3,"Babalyan K, Sultanov R, Generozov E, Sharova E, Kostryukova E, Larin A, Kanygina A, Govorun V, Arapidi G",,10.1371/journal.pone.0204371,0.0,PLoS One,30388122,0.0,LogLoss-BERAF: An ensemble-based machine learning model for constructing highly accurate diagnostic sets of methylation sites accounting for heterogeneity in prostate cancer.,03/08/2022 14:37:33,2018,yes in Supporting information section,made their own dataset,,"Among 222 patients, 126 developed postinduction hypotension","Naïve Bayes, logistic regression, random forest, and artificial neural network models",,,"performed feature selection using the caret R package. from 89 initial features, redundant features were removed, attributes with an absolute correlation coefficient of 0.5 or greater were also removed. Last, specific features were selected using the recursive feature elimination (RFE) method. 20 features were finally selected. ",,,,,,,Black box,,,,ML algorithms metrics,"precision, recall, accuracy",
od7rdaz7w7,63516fedb9c880af1f305b46,2022-09-01T15:16:05.443Z,True,0.86,2022-09-01T15:16:05.443Z,2ab96eb2-c809-4f94-9729-9573ca70ad20,"Simopoulos CMA, Weretilnyk EA, Golding GB",,10.1186/s12864-018-4665-2,0.0,BMC Genomics,29720103,0.0,Prediction of plant lncRNA by ensemble machine learning classifiers.,03/22/2022 13:13:16,2018,,"316 sweet compounds from SweetenersDB dataset.
https://doi.org/10.1016/j.foodchem.2016.10.145",The updated SweetenersDB was split in training and test sets using a Sphere Exclusion clustering algorithm. ,"64 diverse compounds (20.3%) were selected for the test set, leaving 252 compounds in the training set","Random Forest, Support Vector Machine (SVM), Adaptative Boosting with a Decision Tree base estimator (AdaBoost Tree), and k-Nearest Neighbors. AdaBoost Tree was selected",,"Every compound in the datasets were collected as SMILES strings and sanitized with RDKit. The resulting datasets consisted of 635 descriptors for the Dragon dataset, and 506 features for the “open-source” dataset. ","Five-fold cross validation was performed with hyperparameter tuning using a grid search.  The optimal percentile of features was tuned as a parameter of the Grid Search.
32 descriptors for the “Dragon” model, and 51descriptors for the “open source” model","To avoid any model bias due to overfitting, the number of features used by the model is a hyperparameter that has been optimized.",,,Structures were standardized using the “standardizer” from Python.,,,direct correlation between compound and sweetness,regression to predict the logSw (relative sweetness),,"e-Sweet platform (Zheng et al., 2019) is based on a consensus model of various
 machine learning protocols. The performance of BitterSweet is comparable to
 e-Sweet and Predisweet (R2 of 0.72 on our test set) but the protocol is still unpublished, and seven molecules of the test set has not been
 considered as sweet.",statistical metrics,"predictive performance was evaluated based on criteria previously defined by: https://doi.org/10.1016/S1093-3263(01)00123-1.
 correlation coefficient, coefficient of determination, slopes of the regression lines through the origin for the observed vs. predicted and predicted vs. observed values respectively, corresponding coefficients of determination, root mean squared error, mean absolute error",independent dataset
9m31lscgpm,63516fedb9c880af1f305b47,2022-09-01T15:16:05.443Z,True,0.86,2022-09-01T15:16:05.443Z,39fb8263-4ce3-4283-87ed-5ceba5717b62,"Zhang TM, Huang T, Wang RF",,10.3892/ol.2018.8860,0.0,Oncol Lett,30008861,0.0,"Cross talk of chromosome instability, CpG island methylator phenotype and mismatch repair in colorectal cancer.",03/28/2022 23:21:09,2018,"from other papers, and requests can be made to the senior author. Data also available via GitHub link","Comes from two of other publications [13] and [8]. Note that the purpose of this article is to show a new data representation for classification. First data set consist of 365 NGS samples, 108 are recently infected hosts and 257 are chronically infected hosts. The second set consists of 335 infected persons, 142 correspond to outbreaks with more than one person and 193 are isolated cases. the latter is used for clustering, so not further considered here","No stratification explicitly discussed, yet leave-one-outbreak out aims to resolve overlaps between the folds used for training and testing.","no separate validation set. Cross-validation is used, both classic 10-fold and ""leave-one-outbreak-out"", also under sampling of the larger set (chronically affected) is tested.","A series of classification methods, all from scimitar learn ; including SVM (best performance), RF and NB. ",,The paper proposed sequence image normalisation for encoding.  yet very poorly explained and thus difficult to understand,"RGB matrices encoding sequences, yet unclear how this works exactly.","many more features, if one considers that every RGB value as a feature.  ","not features coming from other predictors, all raw data ","ML parameters are optmized, e.g.  regularization parameter c for SVM and number of trees for RF.  Not all parameters are systematically mentioned ",Cross-validation approaches,yes via GitHub,,no obvious interpretation,binary classification,might be part of the githuv rep,"method in ref [32], which has significantly worse performance.",,"Accuracy, AUC, presicion and recall",
v1vwcbzzui,63516fedb9c880af1f305b48,2022-09-01T15:16:05.444Z,True,0.76,2022-09-01T15:16:05.444Z,81c5e03c-ebb1-44ac-b252-0b787354659d,"Zimmer D, Schneider K, Sommer F, Schroda M, Mühlhaus T",,10.3389/fpls.2018.01559,0.0,Front Plant Sci,30483279,0.0,Artificial Intelligence Understands Peptide Observability and Assists With Absolute Protein Quantification.,03/28/2022 23:57:02,2018,"Yes: Supp data of referenced publication,  and GEO query",Yes: used by previous papers. N_pos and N_neg are given.,Yes: random selection with redundancy removal in pos and neg sets (>70% sequence identity CD-HIT),Yes: Size of N_pos and N_neg for training and test sets.,"Yes: SVM (compared to KNN, adaboost, random forest, decision tree, logistic regression and XGBoost)",,"Yes: sequence features (KNF/NC, KSNPF, PSNP, KSPSDP, PseDNC, CPD)",Yes: 6 f. Wrapper method (sequence forward selection). ten-fold cross-validation on training dataset.,,,"Yes: box constraint and kernel scale, optimised by a grid search",Yes:  box constraint parameter,No. Link to project (https://zhulab.ahu.edu.cn/m5CPred-SVM/) is broken,,~Yes: Results for different feature selections,,,"Yes: RNAm5Cfinder, iRNA-m5C, iRNAm5C-PseDNC, RNAm5CPred, PEA-m5C","No. Justification based only on evaluation values difference (acc, sn, sp, pre, mcc, f1, AUROC)","accuracy, sensitivity, specificity, precision, Matthews correlation coefficient and F1-score, AUROC",independent datasets
c80vqcn356,63516fedb9c880af1f305b75,2022-09-01T15:16:05.444Z,True,0.76,2022-09-01T15:16:05.444Z,54b0bca4-f5c2-48bb-81d3-2aa6f88cbafc,"Ding MQ, Chen L, Cooper GF, Young JD, Lu X",,10.1158/1541-7786.MCR-17-0378,0.0,Mol Cancer Res,29133589,0.0,Precision Oncology beyond Targeted Therapy: Combining Omics Data with Machine Learning Matches the Majority of Cancer Cells to Effective Therapeutics.,03/28/2022 00:12:23,2018,"Dataset 1: yes. Dataset ID: EGAD00001000200; URL: https://ega-archive.org/datasets/EGAD00001000200; license: stated with specific Data Use Ontology (DUO) codes: DUO:0000005, DUO:0000026, DUO:0000027, DUO:0000029, DUO:0000019, DUO:0000028.

Dataset 2: no (available upon request at: https://thl.fi/en/web/thl-biobank/for-researchers/sample-collections/twin-study)

Dataset 3: yes. Dataset id: GSE42861; URL: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse42861; license: not reported

Dataset 4: yes. Dataset id: GSE50660; URL: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50660; license: not reported","For each dataset 3 categories are considered: Smokers (S), Former Smokers (FS), and Never Smokers (NS). For each dataset N_S, N_FS, and N_NS will be used for the number of Smokers, Former Smokers, and Never Smokers respectively. For each dataset only data related to Dnot reported methilation.

Dataset 1: data from 474 individuals from the Dietary, Lifestyle and Genetic determinants of Obesity and Metabolic syndrome (DILGOM). N_S = 113, N_FS = 118, N_NS = 243. Used in other papers.

Dstaset 2: data from 408 individuals from the Finnish Twin Cohort (FTC). N_S = 67; N_FS = 141; N_NS = 200. Used in other papers.

Dataset 3: data from 687 individuals from the GSE42861 in Gene Expression Omnibus (GEO). N_S = 266; N_FS = 228; N_NS = 193. Used in other papers.

Dataset 4: data from 464 individuals from the GSE50660 in Gene Expression Omnibus (GEO). N_S = 22; N_FS = 263, N_NS = 179.","Dataset 1, 2, 3 and 4 are independent from each other.","Dataset 1: Used as training test. Used for cross-validation randomly subdividing data in 90% training and 10% test data. Distribution of S, FS, and NS after random subdivisions is not reported

Dataset 2: used as independent set to verify generalization capability of the classifier. Distribution of S, FS, and NS stated above.

Dataset 3: used as independent set to verify generalization capability of the classifier. Distribution of S, FS, and NS stated above.

Dataset 4: used as independent set to verify generalization capability of the classifier. Distribution of S, FS, and NS stated above.",Least absolute shrinkage and selection operator (LASSO).,The code and the parameters used are available at: https://github.com/sailalithabollepalli/EpiSmokEr. No license specified.,Training dataset are quantile-normalized before training.,Number of f = 122.,,,"Number of p not reported, but could be inferred from the context.","Introduction of a parameter ""lambda"" in the penalized log likelihood procedure for selecting the ""trainable"" parameter. Selection of the ""lambda"" parameter through cross-validation.",Code is available at: https://github.com/sailalithabollepalli/EpiSmokEr. No License provided.,,Black box.,"Regression (probability scores of being Smoker, Former Smoker or Never Smoker)",,Comparison with non-ML methods provided. An extensive comparison was not performed due to differences in the methods.,,Sensitivity and Specificity,Using independent dataset.
iblymem5cf,65e843f41502715bfe53cd1e,2024-03-06T10:22:44.950Z,True,0.96,2024-03-06T10:35:57.616Z,9bd31f10-4479-4940-810c-3e6a4bcfb1e3,"Radoslav Krivák, David Hoksza",,10.1186/s13321-018-0285-8,6.0,Journal of cheminformatics,30109435,0.0,P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure,,2018,"All the mentioned datasets are selected from previous studies and are publicly available.
Datasets are both mentioned through referencing to other studies and accessible through the URL: https://github.com/rdk/p2rank-datasets","Training: CHEN11—a dataset of 251 proteins harboring 476 ligands introduced in LBS prediction benchmarking study.

Optimization and validation: JOINED—consists of structures from several smaller datasets used in previous studies (B48/U48, B210, DT198, ASTEX) joined into one larger dataset. you can find the details below:
B48/U48—Datasets that contain a set of 48 proteins in a bound and unbound state.
B210—a benchmarking dataset of 210 proteins in bound state.
DT198—a dataset of 198 drug-target complexes.
ASTEX—Astex Diverse set is a collection of 85 proteins that was introduced as a benchmarking dataset for molecular docking methods.","Datasets for training and validation purposes are selected arbitrarily.
Testing dataset is not mentioned.
Only training set is mentioned to be non-redundant without explicit mention on the cutout identity percentage.","2 data splits were utilized:
Training: CHEN11 dataset composed of 251 data points.
Optimization and validation: JOINED dataset composed of an overall  541 data points.
All the data points are positive examples of protein-ligand complexes.","The used algorithm is a Random Forest Regression model.
The model is not novel.",The model is accessible through the URL of the GitHub repository.,The model takes vectors of 35 numerical features as input.,"Every vector is composed of 35 numerical features.
No mention on feature selection.","The clear number of parameters is not mentioned.
No assessment on over/under fitting was mentioned.",The algorithm is not a meta-predictor.,"Beside the hyper-parameters of Random Forest, the algorithm uses other parameters and ""cut-of's"", ""thresholds"", ""protrusion radius"", are explicitly mentioned.
It is mentioned that only hyper-parameters are optimized on a separate dataset from training set.
The method of optimization is not mentioned.",A validation set was used to optimize the parameters before training on the training set.,"The software and the source code is publicly available through the provided link to the GitHub repository of the software.
It is a stand-alone executable software, they currently have a web server, but at the time of publication the web server was under development.
URL: https://github.com/rdk/p2rank
Licence: MIT ",It is mentioned that it requires under 1 s for prediction on one protein.,"The model has 200 trees, each grown with no depth limit using 6 features, this makes it challenging to interpret due to the sheer number of trees and their depth.
However, it is still possible to obtain feature importance scores.",It is a regression model outputting numbers between 0 and 1.,,The method was compared to other publicly available methods in the 3 mentioned metrics.,"The confidence intervals are only reported for ""Average prediction time per protein"".
While the method is reported to perform best in the first 2 mentioned metrics, which is not the case in terms of prediction time, the difference is not substantial.","Instead of the conventional performance metrics, 3 reported metrics are as follows:
1. Identification success rate [%] measured by DCCcriterion (distance from pocket center to closest ligand atom) with 4 Å threshold.
2. Average total number of binding sites predicted per protein by on a given dataset.
3. Average time required for prediction on a single protein.",The model was evaluated on two independent datasets. Disjunct with data points present in training and validation set.
rejm27trh8,6634f285ded6e7820f74a19a,2024-05-03T14:19:49.660Z,True,0.71,2024-05-03T14:19:49.660Z,a2eb5814-8cb1-4c0d-a2aa-96fda79bcc2d,"Jingxue Wang, Huali Cao, John Z. H. Zhang & Yifei Qi ",,10.1038/s41598-018-24760-x,,Scientific Reports,29679026,,Computational Protein Design with Deep Learning Neural Networks,,2018,"Available from the corresponding author on ""reasonable request"".","The authors used structures in PDB as the main data source.
They clustered the structures based on different sequence identity thresholds. The resulted structure dataset consists of:
10173 (30% sequence identity), 14064 (50% sequence identity), and 17607 structures (90% sequence identity).","The authors trained their model on 3 redundancy-reduced datasets with 3 different sequence identity thresholds (30%, 50%, and 90%).","For training the model, the authors used a random split 5-fold cross-validation.
The proportion of training and test data points used in cross-validation was not reported.",The algorithm used is a classic neural network. ,,Data was encoded by extracting features from protein residues and their N closest neighboring residues.,"The following input features were reported:
1. Cos and sin values of backbone dihedrals
2. Total solvent accessible surface area (SASA) of backbone atoms
3. Three-type secondary structure
4. Cα-Cα distance to the central residue.
5. Unit vectors from the central residue to the neighbor residues
6. Number of backbone-backbone hydrogen bonds.",,It is not a meta-predictor.,"The following parameters were reported:
1. Activation function: ReLU for all layers.
2. Loss function: Categorical cross entropy.
3. Optimization: SGD with Nesterov momentum (0.9) and learning rate of 0.01.
4. Batch size: 40,000.
5. Sample weighting: Adjusted based on residue type abundance
6. Epochs: 1000",,,,No mention on interpretability was made. The model appears to be a black box.,"Ultimately, it is a classifier method that outputs the potential residue types at a target position based on the probability of 20 amino acids for that specific position.",,The model was compared to a similar method called SPIN.,Standard deviation was reported. The results are not significantly better than the only method that was compared to (SPIN) with 3% improvement.,"The authors used the accuracy of top-k predictions from the model as the evaluation metric.
Top-K accuracy: if the native amino acid is within the top-K predictions (K amino acids that have the highest probabilities), the prediction is considered correct.","1. The model was solely evaluated on 3 proteins that are as follows:
An all-α protein (PDB ID 2B8I60), an all-β protein (PDB ID 1HOE61), and a mixed αβ protein (PDB ID 2IGD).
2. The model was evaluated and compared to another method on a data set of 50 proteins."
6qvzmhfton,6634f47fded6e7820f74a1b0,2024-05-03T14:28:15.854Z,True,0.71,2024-05-03T14:28:15.854Z,8106fd96-ea13-4cb8-84f9-4ac85aba9559,"Qiwan Hu, Mudong Feng, Luhua Lai, Jianfeng Pei
",,10.3389/fgene.2018.00585,,Frontiers in Genetics,30538725,,Prediction of Drug-Likeness Using Deep Autoencoder Neural Networks,,2018,,"3 manually built dataset pairs were used by authors to construct prediction models for drug-likeness.
Dataset pair | Number of positive | Number of negative | Total
WDI/ACD | 38,260 | 288,540 | 326,800
MDDR/ZINC | 171,850 | 199,220 | 371,070
WORLDDRUG/ZINC | 3,380 | 199,220 | 202,600

MDDR (MACCS-II Drug Data Report [MDDR], 2004), WDI (Li et al., 2007), ACD (Li et al., 2007), ZINC (Irwin et al., 2012; Sterling and Irwin, 2015), ZINC WORLD DRUG (Sterling and Irwin, 2015)","Authors randomly split the datasets.
The training and test sets are not independent.
They removed the duplicates appearing in both sets.
","Authors randomly split the datasets on the proportion of 9:1 as training set and ""validation"" (apparently used as the test set).
No mention on stratified sampling to ensure the same distribution of positive and negative classes in the splits.",Algorithm is an autoencoder neural network.,,"Authors used 2D descriptors to encode the molecules. Molecules after preprocessing were calculated by MOLD2 (Hong et al., 2008), resulting a descriptor matrix of ∼700 descriptors per molecule.",∼700 descriptors per molecule.,"The exact number of parameters not reported. As a strategy against overfitting, authors tried to optimized the weight of the positive and negative sample loss of the logarithmic likelihood loss function.",It is not a meta-predictor.,"Reported table of the hyperparameters:
Initializer = TruncatedNormal
Number of hidden layers = 1
Number of hidden layer nodes = 512
L2 Normalization term = 1e-4
Dropout rate = 0.14
Activation = Relu
Batch size = 128
Optimizer = Adam
Loss = mse for AE, binary crossentropy for classifier","As a strategy against overfitting, authors tried to optimized the weight of the positive and negative sample loss of the logarithmic likelihood loss function. They also used early stopping based on classification ACC on the ""test"" set.",,,No mention on interoperability. It appears to be a black box.,It is a classifier model.,,"Accuracy was compared to a SVM model built by Li et al (Li et al., 2007).",,"All models were evaluated by five indexes. The Accuracy, Specificity, Sensitivity, Matthews correlation coefficient (MCC), and area under the receiver operating characteristic curve (AUC).","They used a 5 fold cross-validation.
The evaluation was not performed on an independent set.
"
toe45v1h7a,6638a2f7b30933003cc215b9,2024-05-06T09:29:27.218Z,True,0.76,2024-05-06T09:29:27.218Z,71898e53-9df0-464d-9e78-bb95274221ec,"Radoslav Krivák, David Hoksza",,10.1186/s13321-018-0285-8,,Journal of cheminformatics,30109435,,P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure,,2018,"All the mentioned datasets are selected from previous studies and are publicly available.
Datasets are both mentioned through referencing to other studies and accessible through the URL: https://github.com/rdk/p2rank-datasets","Training:  CHEN11—a dataset of 251 proteins harboring 476 ligands introduced in LBS prediction benchmarking study.
Optimization and validation: JOINED—consists of structures from several smaller datasets used in previous studies (B48/U48, B210, DT198, ASTEX) joined into one larger dataset. you can find the details below:
B48/U48—Datasets that contain a set of 48 proteins in a bound and unbound state.
B210—a benchmarking dataset of 210 proteins in bound state.
DT198—a dataset of 198 drug-target complexes.
ASTEX—Astex Diverse set is a collection of 85 proteins that was introduced as a benchmarking dataset for molecular docking methods.","Datasets for training and validation purposes are selected arbitrarily.
Testing dataset is not mentioned.
Only training set is mentioned to be non-redundant without explicit mention on the cutout identity percentage.","2 data splits were utilized:
Training: CHEN11 dataset composed of 251 data points.
Optimization and validation: JOINED dataset composed of an overall  541 data points.
All the data points are positive examples of protein-ligand complexes.","The used algorithm is a Random Forest Regression model.
The model is not novel.",URL: https://github.com/rdk/p2rank. Licence: MIT,The model takes vectors of 35 numerical features as input.,"Every vector is composed of 35 numerical features.
No mention on feature selection.",The clear number of parameters is not mentioned. No assessment on over/under fitting was mentioned.,The algorithm is not a meta-predictor.,"Beside the hyper-parameters of Random Forest, the algorithm uses other parameters and ""cut-of's"", thresholds"", ""protrusion radius"", are explicitly mentioned.
It is mentioned that only hyper-parameters are optimized on a separate dataset from training set.
The method of optimization is not mentioned.",A validation set was used to optimize the parameters before training on the training set.,"The software and the source code is publicly available through the provided link to the GitHub repository of the software. It is a stand-alone executable software, they currently have a web server, but at the time of publication the web server was under development. URL: https://github.com/rdk/p2rank. Licence: MIT",It is mentioned that it requires under 1 s for prediction on one protein.,"The model has 200 trees, each grown with no depth limit using 6 features, this makes it challenging to interpret due to the sheer number of trees and their depth. However, it is still possible to obtain feature importance scores.",It is a regression model outputting numbers between 0 and 1.,,,,,
2g7fzlkala,664b2a75b30933003cc2184b,2024-05-20T10:48:21.402Z,True,1.0,2024-05-20T10:48:21.402Z,4fb79024-ab54-4e22-889b-73335801c3bc,"Jain S, Grandits M, Richter L, Ecker GF. ",,10.1007/s10822-017-0021-x,,Journal of Computer-Aided Molecular Design,28527154,,Structure based classification for bile salt export pump (BSEP) inhibitors using comparative structural modeling of human BSEP,,2018,"The training dataset has been taken from a cited publication (Warner DJ, et al (2012) Drug Metab Dispos Biol Fate Chem 40:2332–2341), which however was not accessible without a fee.  One of the test sets in published, in the unprocessed form, in Pedersen JM, et al (2013) Toxicol Sci 136:328–343.","The training dataset comprised 408 compounds:113 BSEP (bile salt export pump) inhibitors and 295 non-inhibitors, derived from a previous publication (Warner DJ, et al (2012) Drug Metab Dispos Biol Fate Chem 40:2332–2341","A chemical space network (CSN) was constructed and analyzed in order to assess the structural similarity shared by the compounds of the inhibitor and non-inhibitor groups.  The majority of the nodes did not have a connection, indicating a high structural diversity in the training dataset.  A similar analysis showed a high structural diversity also for one of the test sets.","For all model, tenfold internal cross-validation was applied.  Distribution of data point in the splits is not reported.","The open source software WEKA (version 3.7.10) was used for building binary classification models. The standard machine learning classifiers, J48, Random Forest, REPTree, LibSVM, and Naive Bayes, were used with the default parameters along with tenfold internal cross-validation.",Not available.,"The initial dataset was curated according to the following steps: (1) removal of inorganic compounds using Instant JChem v.5.3, 2010, ChemAxon (http://www.chemaxon.com); (2) analysis and removal of mixtures formed by two or more large molecules; (3) deletion of organometallic compounds using MOE 2011.10 15; (4) identification and removal of compounds containing special atoms such as selenium or tellurium by means of an in-house MOE SVL script; (5) normalization of chemotypes using the ChemAxon’s Standardizer with the following settings: clean 2D, aromatize, mesomerize, neutralize, tautomerize and all transform options; (6) identification and elimination of nonunique structures using MOE; (7) deletion of compounds having permanent charges.    Different docking runs (using the docking software GOLD) and docking fitness functions were applied to the preprocessed training set.  Prior probability distributions for the inhibitor and non-inhibitor classes were calculated.","The input for the set of the 5 ML models was a combination of the Xscore(ChemScore) scoring function, obtained by the GOLD docking runs, combined with physicochemical properties as descriptors for the training set. The physicochemical properties were MW (Molecular Weight) and log(P) (where P is the octanol-water partition coefficient of the compound).   No feature selection is mentioned.",The standard number of parameters in the applied classifiers was much lower than the training points.  The possibility of under-fitting was not mentioned.,,The standard parameters in WEKA for the 5 chosen classifiers were used.  Their number is in the order of less than a dozen for each classifier. ,Not mentioned in text.,The open source software WEKA (version 3.7.10) was used.,"Not reported.
","The input features were relatively transparent, being based on the quality of the docking poses and on two main reasonable physicochemical properties of the compounds.  The addition of the latters did improve the performance, which was in agreement with expectation.",Binary classification (BSEP inhibitor or non-inhibitor).  ,Not available.,"A comparison between the present structure-based models to a previous published method, by the same research group, that applied ligand-based models, was performed.  A comparison to a model, obtained using the scoring probability functions only, was performed. ",No confidence intervals of performance metrics are given.,"Sensitivity, specificity, accuracy, G-mean, Matthews Correlation Coefficient, AUC-ROC.","Two independent test sets were used, containing 166 compounds (44 inhibitors and 122 noninhibitors), and 638 compounds (248 inhibitors and 390 non-inhibitors), respectively.  The first set was taken from the work of Pedersen JM, et al (2013) Toxicol Sci 136:328–343.  The second dataset (unpublished) was provided by AstraZeneca within the framework of the IMI project eTOX. (http://www.etoxproject.eu). Both studies provide in vitro inhibition data on human BSEP."
