matches_optimization/fitting,matches_dataset/provenance,matches_optimization/meta,matches_publication/updated,publication_doi,uuid,matches_evaluation/method,publication_authors,matches_optimization/regularization,matches_evaluation/availability,matches_publication/doi,matches_model/availability,shortid,matches_evaluation/confidence,publication_title,matches_optimization/features,publication_created,_id,matches_optimization/config,created,publication_journal,matches_dataset/availability,matches_model/duration,matches_optimization/parameters,matches_publication/journal,updated,publication_done,matches_publication/title,matches_model/output,matches_evaluation/comparison,matches_dataset/redundancy,matches_model/interpretability,publication_skip,matches_dataset/splits,publication_year,public,matches_evaluation/measure,matches_optimization/encoding,matches_publication/pmid,matches_publication/authors,publication_updated,matches_optimization/algorithm,matches_publication/year,publication_pmid,score
,"not reportedME21 consortium, ENCODE consortium,  whole-genome catalogue of Dnot reported methylation in human, DOI: 10.1371/journal.pgen.1000438",,01/21/2022 17:00:14,10.1152/jn.00840.2014,868e7e5a-159e-47dc-9571-2700b8d3541b,Cross-validation and independent dataset,"Connolly AT, Jensen AL, Baker KB, Vitek JL, Johnson MD",,,,"http://www.cogsys.
 cs.uni-tuebingen.de/software/dna-methylation/.",f4zymru581,"To ensure a fair comparison, all analyses have been repeated ten times with a ten-fold cross-validation so the mean and standard deviation for each experiment are presented.",Classification of pallidal oscillations with increasing parkinsonian severity.,948 features from 15 categories but each training included a subset of them,,63516fedb9c880af1f305bae,,2022-09-01T15:16:05.446Z,J Neurophysiol, http://www.cogsys.cs.uni-tuebingen.de/software/dna-methylation/.,,,J Neurophysiol,2022-09-01T15:16:05.446Z,0,Classification of pallidal oscillations with increasing parkinsonian severity.,binary classification,direct comparison is challenging since there are a lot of factors contributing in the final results. Some comparison is indeed presented from other publications.,,the algorithms were used in order to show the predictive performance of each feature and thus outline the correlation between features and classification,0,"56 methylated (112 unmethylated) instances for leukocytes, 73
methylated (117 unmethylated) instances for HEK293, 44 methylated (142 unmethylated) instances for HEPG2, 43 methylated (142 unmethylated) instances for fibroblasts, and 32
methylated (137 unmethylated) instances for trisomic fibroblasts",2015,True,"accuracy, Matthews correlation coefficient (MCC) and the area under the receiver operating
 characteristics curve (AUC), average absolute error (AAE)",,,"Connolly AT, Jensen AL, Baker KB, Vitek JL, Johnson MD",01/21/2022 17:00:14,"decision trees, naive Bayes,  k-nearest neighbor, K*, random decision forest and support vector machines with Gaussian radial basis function and linear kernel",,25878156,0.62
"Apparently both over-fitting and under-fitting can be excluded (p<N, f =5).  ","Source:  AKU-related dataset, 203 patients in total.  Not used previously.",,03/30/2022 16:22:15,10.1155/2016/4809831,10e71e8f-f4e5-4904-9a7b-9428370d1e99,Independent validation set.,"Wang MY, Li P, Qiao PL",,,,,2t5i3s7g3y,Significance of the model by F statistics.,The Virtual Screening of the Drug Protein with a Few Crystal Structures Based on the Adaboost-SVM.,"The 110 numeric fields included in the platform were considered as the possible predictors with a backward elimination method. From the screening of every model, the authors selected the most significant ones (5 predictors) according to the F statistics of the ChiSquare coefficients.  From the text it appears that the feature elimination procedure was applied on the whole dataset.  ",,63516fedb9c880af1f305b5e,Coefficients Estimates and Standard Errors of the predictors are reported.,2022-09-01T15:16:05.444Z,Comput Math Methods Med,"The database, hosting the dataset, is accessible via registration request:    http://www.bio.unisi.it/aku-db/",,"7 MLR parameters:  5 feature parameters, 1 intercept, 1 error term.",Comput Math Methods Med,2022-09-01T15:16:05.444Z,0,The Virtual Screening of the Drug Protein with a Few Crystal Structures Based on the Adaboost-SVM.,"Regression: prediction of patients PTI (Protein Thiolation Index) values, given the patients clinical information.",,,Transparent. All 5 features are clinical parameters known to be related to the AKU illness.,0,"Training set: 181 patients, Validation set: 22 patients",2016,True,"Adjusted coefficient of determination, Mean Standard Error, Maximum Absolute Difference Predicted vs Experimental",Global features,,"Wang MY, Li P, Qiao PL",03/30/2022 16:22:15,Multiple Linear Regression (MLR) ,,27127534,0.67
, distinguish 32 patients from 30 healthy control,,06/23/2022 04:51:07,10.1371/journal.pone.0150611,55301cf1-e2b8-4e59-86d5-6502872104d6,Cross validation,"Cho H, Berger B, Peng J",,,,,ftglxzast4,,Reconstructing Causal Biological Networks through Active Learning.,,,63516fedb9c880af1f305b5f,,2022-09-01T15:16:05.444Z,PLoS One,,,,PLoS One,2022-09-01T15:16:05.444Z,0,Reconstructing Causal Biological Networks through Active Learning.,Binary classification,,,Black box,0, distinguish 32 patients from 30 healthy control,2016,True,ROC curve,"Yes, e.g. voxel resolution",,"Cho H, Berger B, Peng J",06/23/2022 04:51:07,,,26930205,0.57
"Second feature selection process as part of the hyper-parameter tuning process, referred to as “automated feature selection” in Fig 1. The automated method is based on the mutual information between each individual feature and sepsis class (case or control) to select top n features, 11 features selected for CPOnly DS, 35 (all) for CP+Clinical dataset.","Neonatal Intensive Care Unit (NICU) at the Children’s Hospital of Philadelphia, hospizalized infants with sepsis evaluation (culture positive, clinically positive)",,06/23/2022 05:29:46,10.1002/prot.24863,92789330-e8c7-4761-a47b-6758bb151af7,"k-fold cross validation, negative control dataset","Kosciolek T, Jones DT",Nested k-fold cross-validation,"Yes, Supporting information, https://github.com/chop-dbhi/sepsis_01, MIT license (code)",,"https://github.com/chop-dbhi/sepsis_01, Data is in S3, unclear if project can be fully bootstrapped.",m8bml54z62,NA (The null hypothesis of equal inter-model distributions was rejected by the Friedman rank sum test with p-values of <0.001 for both the CPOnly and CP+Clinical datasets.),Accurate contact predictions using covariation techniques and machine learning.,36 clinical attributes per patient per time-point,,63516fedb9c880af1f305b60,"Yes, supporting information",2022-09-01T15:16:05.444Z,Proteins,"Yes, Supporting information.",,"Ada boost: 3, Gradient Boosting: 2, kNN: 2, Logistic Regression: 1, Random Forest: 3, SVM: 2",,2022-09-01T15:16:05.444Z,0,Accurate contact predictions using covariation techniques and machine learning.,"probability score, classification into positive case if p > 0.5","Ada boost, Gradient Boosting, kNN, Logistic Regression, Random Forest, SVM",not reported (there were pre-selection criteria for inclusion),"Transparent, names of models and parameters are provided",0,"618 infants with 1188 sepsis evaluations, 110 culture positive, 265 clinically positive, 492 negative",2016,True,"AUC, Specificity, PPV, NPV","Mean imputation for missing values, normalization of continuous valued features to zero mean and unit variance.",,"Kosciolek T, Jones DT",06/23/2022 05:29:46,"AdaBoost, Gradient boosting, Gaussian process, K-nearest neighbors, logistic regression, naive Bayes, Random forest, SVM (RBF)",,26205532,0.9
,"Yeast data set:  from the PRIDE repository 
C. reinhardtii data set:  previous proteome-wide studies
each dataset filtered for single occurrence of all proteins

",,03/07/2022 10:49:51,10.18632/aging.100968,fd5713cd-748e-4a55-889a-9ed418021731,"randomly selected 20% of the proteins in each assembly to use them as validation-data-sets, 
 32 peptides from a QconCAT protein was experimentally validated","Putin E, Mamoshina P, Aliper A, Korzinkin M, Moskalev A, Kolosov A, Ostrovskiy A, Cantor C, Vijg J, Zhavoronkov A","Yes, “dropout” technique ",,,webservice: (http://csbweb.bio.uni-kl.de/),0qudu672ba,no statistical significance declared.,Deep biomarkers of human aging: Application of deep neural networks to biomarker development.,The networks were trained using a minibatch size of 3 for 10 epoch.,,63516fedb9c880af1f305b7a,,2022-09-01T15:16:05.445Z,Aging (Albany NY),"at the suplementary files  https://www.frontiersin.org/articles/10.3389/fpls.2018.01559/full#supplementary-material

",,five dense layers with 128 nodes each,Aging (Albany NY),2022-09-01T15:16:05.445Z,0,Deep biomarkers of human aging: Application of deep neural networks to biomarker development.,,"ChemScore (Parker, 2002) 
 PeptideSieve (Mallick et al., 2007),
 PeptideRank (Qeli et al., 2014),
 CONSequence (Eyers et al., 2011), 
 ESPPredictor (Fusaro et al., 2009).",,Black box,0,"training datasets consisting of 2,652 yeast and 2,732 C. reinhardtii proteins
two validation datasets consisting of 664 yeast and 685 C. reinhardtii proteins",2016,True,normalized discounted cumulative gain (nDCG) metric,BioFSharp framework (available at: https://github.com/CSBiology/BioFSharp) and converted into a feature vector with 45 entries.,,"Putin E, Mamoshina P, Aliper A, Korzinkin M, Moskalev A, Kolosov A, Ostrovskiy A, Cantor C, Vijg J, Zhavoronkov A",03/07/2022 10:49:51,neural network,,27191382,0.81
,GEO GSE39582,,03/13/2022 19:09:08,10.1007/s10822-016-9960-x,4a3c8c15-7e55-4033-a570-4dd9364e7be4,,"Sunseri J, Ragoza M, Collins J, Koes DR",,"yes, Figure 1",,,2imglukj27,,A D3R prospective evaluation of machine learning for protein-ligand scoring.,,,63516fedb9c880af1f305b7b,,2022-09-01T15:16:05.445Z,J Comput Aided Mol Des,"yes, GEO GSE39582",,,J Comput Aided Mol Des,2022-09-01T15:16:05.445Z,0,A D3R prospective evaluation of machine learning for protein-ligand scoring.,,,,"transparent, listed in the The CIN-associated gene selection section in Methods",0,"Within the 585 colon patients, there were 369 CIN+ and 112 CIN-, 93 CIMP+ and 420 CIMP-, 77 dMMR and 459 pMMR",2016,True,"Accuracy, sensitivity, specificity, mcc",The probes corresponding to the same gene were averaged. The gene expression data was preprocessed with quantile normalization,,"Sunseri J, Ragoza M, Collins J, Koes DR",03/13/2022 19:09:08,,,27592011,0.52
,"positive: lncRnot reporteddb v2.0, lncRnot reporteddisease , total of 436 unique, validated lncRnot reported sequences // negative: Ensembl, Araportv11 ",,03/17/2022 23:10:43,10.1177/1087057115623451,bad7ff2b-45e0-4386-ba20-6ff517bf0db5,10-fold cross-validation,"Kandaswamy C, Silva LM, Alexandre LA, Santos JM",,,,,wd9oesbckf,(qualitative explanation) An important consideration of this tool is that it is not constrained by preconceived rules that may or may not appropriately classify lncRNA properties and the stacking generalizer model based on gradient boosting models will facilitate lncRNA identification without imposing arbitrary rules for lncRNA detection.,High-Content Analysis of Breast Cancer Using Single-Cell Deep Transfer Learning.,"9 features were extracted using a combination of custom Python scripts and known software CPAT, Diamond, RepeatMasker.",,63516fedb9c880af1f305b7c,,2022-09-01T15:16:05.445Z,J Biomol Screen,"(http://lncrnadb.org), (http://www.cuilab.cn/lncrnadisease), (http://www.ensembl.org), (https://araport-dev.tacc.utexas.edu)",measured in minutes," gradient boosting parameters :  learning_rate, max_depth, subsample, n_estimators. 
Random forest parameters: only change from default parameters being n_estimators and min_samples_leaf.",J Biomol Screen,2022-09-01T15:16:05.445Z,0,High-Content Analysis of Breast Cancer Using Single-Cell Deep Transfer Learning.,"classification binary if a transcript was or was not predicted as a lncRNA and stacking with
 logistic regression for ensemble method","compared to GreeNC (uses a transcript filtering method, rather than a machine learning approaches).",variety of training datasets was used to maximize model diversity and samples were equally and randomly selected to get a balanced training,,0, 8 different combinations of negative data from multiple species,2016,True,"accuracy, sensitivity, specificity and AUC values",Diamond alignment in SwissProt database,,"Kandaswamy C, Silva LM, Alexandre LA, Santos JM",03/17/2022 23:10:43," random forest and gradient boosting. Also ensemble method from different classifiers, Two separate values were used for the creation of each ensemble model – scores sij and
predictions pij where i represents model number and j transcript.  The four ensemble
approaches included both algebraic combiners and voting methods as non-trainable methods, and a stacking generalizer as a meta-learner.",,26746583,0.76
,"All the datasets are public. For all datasetes, pos refer to tumor sample, neg to non-tumor sample.

-- Datasets for prostate cancer --
Dataset 1: GEO dataset GSE74013 (N_pos = 21; N_neg = 27)
Dataset 2: TCGA-PRAD (N_pos = 293; N_neg = 23)
Dataset 3: GEO dataset GSE55479 (N_pos = 143; N_neg = 0)
Dataset 4: GEO dataset GSE38240 (N_pos = 8; N_neg = 4)
Dataset 5: GEO dataset GSE73549 (N_pos = 77; N_neg = 15)

-- Datasets for bladder cancer --
Dataset 6: TCGA-BLCA (N_pos = 335; N_neg = 23)

-- Datasets for colorectal cancer --
Dataset 7: TCGA-COAD (N_pos = 333; N_neg = 37)
Dataset 8: GEO dataset GSE74013 (N_pos = 14; N_neg = 20)

-- Datasets for renal clear cells cancer --
Dataset 9: TGCA-KIRC (N_pos = 290; N_neg = 130)

-- Datasets for renal papillary cell carcinoma --
Dataset 10: TGCA-KIRP (N_pos = 252; N_neg = 167)",,03/23/2022 12:35:43,10.1002/minf.201500108,c0279a1e-2bf3-4fe2-8d40-9c9cc040608d,Independent Datasets (test sets),"Chen AS, Westwood NJ, Brear P, Rogers GW, Mavridis L, Mitchell JB",,,,"Yes, the code is available at URL: https://github.com/bioinformatics-IBCH/logloss-beraf",o94lxlja8t,No confidence intervals. No static significance claimed,A Random Forest Model for Predicting Allosteric and Functional Sites on Proteins.,"Number of features not reported

The feature selection was actually the main topic of the paper. The feature selection method is carefully described. In brief, features were selected passing through different steps: 1. initial filtering 2. Random Logistic Regression 3. Feature importance of Random Forest 4. evaluating the LogLoss of the prediction performed using different combination of the selected features.",,63516fedb9c880af1f305b7d,,2022-09-01T15:16:05.445Z,Mol Inform,"Yes. 

-- Datasets for prostate cancer --
Dataset 1 URL: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74013
Dataset 2 URL: https://portal.gdc.cancer.gov/projects/TCGA-PRAD
Dataset 3 URL: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55479
Dataset 4 URL: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38240
Dataset 5 URL: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73549

-- Datasets for bladder cancer --
Dataset 6 URL: https://portal.gdc.cancer.gov/projects/TCGA-BLCA

-- Datasets for colorectal cancer --
Dataset 7 URL: https://portal.gdc.cancer.gov/projects/TCGA-COAD
Dataset 8 URL: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74013

-- Datasets for renal clear cells cancer --
Dataset 9 URL: https://wiki.cancerimagingarchive.net/display/Public/TCGA-KIRC

-- Datasets for renal papillary cell carcinoma --
Dataset 10 URL: https://www.google.com/search?channel=trow5&client=firefox-b-d&q=TCGA+KIRP",,,Mol Inform,2022-09-01T15:16:05.445Z,0,A Random Forest Model for Predicting Allosteric and Functional Sites on Proteins.,,"Compared with other classification models, all based on logistic regression.",No redundancy stated for dataset splits. All the datasets are independent from each other,Black box,0,"In all cases, the training dataset is used also for validation.

-- Datasets for prostate cancer --
Dataset 1: Splitted in Training (N_pos = 8; N_neg = 11) and Test set (N_pos = 13; N_neg = 16)
Dataset 2: Splitted in Training (N_pos = 117; N_neg = 15) and Test set (N_pos = 176; N_neg = 23)
Dataset 3: Used as test set (N_pos = 143; N_neg = 0)
Dataset 4: Used as test set (N_pos = 8; N_neg = 4)
Dataset 5: Used as test set (N_pos = 77; N_neg = 15)

-- Datasets for bladder cancer --
Dataset 6: Splitted in training (N_pos = 134; N_neg = 9) and test set (N_pos = 201; N_neg = 14)

-- Datasets for colorectal cancer --
Dataset 7: Splitted in training (N_pos = 133; N_neg = 15) and test set (N_pos = 200; N_neg = 22)
Dataset 8: Splitted in training (N_pos = 6; N_neg = 9) and test set (N_pos = 8; N_neg = 11)

-- Datasets for renal clear cells cancer --
Dataset 9: Splitted in training (N_pos = 116; N_neg = 52) and test set (N_pos = 174; N_neg = 78)

-- Datasets for renal papillary cell carcinoma --
Dataset 10: Splitted in training (N_pos = 101; N_neg = 63) and test set (N_pos = 151; N_neg = 104)",2016,True,"Precision, Recall, F1-score, Area Under Curve (AUC)",,,"Chen AS, Westwood NJ, Brear P, Rogers GW, Mavridis L, Mitchell JB",03/23/2022 12:35:43,Random Forest ,,27491922,0.62
,"source of data:  large pharmacogenomics studies: Genomics of Drug Sensitivity in Cancer Project (GDSC), and the Cancer Cell Line Encyclopedia (CCLE),
after filtering, they created a single array of data containing information on 3577 features in 624 cell lines",,02/09/2022 10:22:18,10.1124/jpet.116.232660,e9716212-a945-4dc9-b615-7fc1704b6dbf,25-fold cross-validation,"Liu HC, Goldenberg A, Chen Y, Lun C, Wu W, Bush KT, Balac N, Rodriguez P, Abagyan R, Nigam SK","Yes, variance-based mixture-fitting feature selection scheme",,,,3htxdzl6gy,,"Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.","selected features from the deep learning autoencoder: ""Matlab code for training a deep autoencoder as described by Hinton and Salakhutdinov was obtained from Hinton's website (http://www.cs.toronto.edu/$hinton/MatlabForSciencePaper.html)""",,63516fedb9c880af1f305b85,,2022-09-01T15:16:05.445Z,J Pharmacol Exp Ther,,,,J Pharmacol Exp Ther,2022-09-01T15:16:05.445Z,0,"Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.",,they mentioned two similar studies: 10.1126/science.1127647 and 10.1038/nature12831,,Black box,0,"for training a deep autoencoder: randomly split into training and testing datasets of 520 and 104 samples, respectively

for drug-sensitivity prediction: 25-fold cross-validation",2016,True,"lastic net models: average sensitivity 0.75, average specificity 0.78, AUROC 0.81
 SVM models: average sensitivity 0.59, average specificity 0.56, AUROC 0.55",selected features from the deep learning autoencoder,,"Liu HC, Goldenberg A, Chen Y, Lun C, Wu W, Bush KT, Balac N, Rodriguez P, Abagyan R, Nigam SK",02/09/2022 10:22:18,"Elastic net regression, SVM  and deep autoencoder",,27488918,0.62
," three CyTOF datasets consisting of 56, 136 and 16 PBMC samples",,02/21/2022 23:04:51,10.1371/journal.pcbi.1005158,5de83145-b739-43f7-a0cf-8c223ddf45f9,independent dataset,"Willett DS, George J, Willett NS, Stelinski LL, Lapointe SL","logarithmic transform, followed by rescaling",,,"https://github.com/
 KlugerLab/deepcytof.git.",8ockqu6jl9,comparison with manually performed task,Machine Learning for Characterization of Insect Vector Feeding.,,,63516fedb9c880af1f305b86,"yes, in ""savedmodels"" folder in https://github.com/KlugerLab/deepcytof.git.",2022-09-01T15:16:05.445Z,PLoS Comput Biol,,,depth-4 feed-forward neural nets,PLoS Comput Biol,2022-09-01T15:16:05.445Z,0,Machine Learning for Characterization of Insect Vector Feeding.,cell classification,,,Black box,0,,2016,True,"F-measure statistic (the harmonic mean of precision
 and recall)","sample denoising, calibration between target samples and a single reference source sample
and finally cell classification. We implement each of these tasks using the following three neural nets: (i) a denoising autoencoder (DAE) for handling missing data; (ii) an MMD-ResNet for calibrating between the target samples and a reference source sample; (iii) a
depth-4 feed-forward neural net for classifying/gating cell types trained on a reference source sample.",,"Willett DS, George J, Willett NS, Stelinski LL, Lapointe SL",02/21/2022 23:04:51,,,27832081,0.71
,,Yes. Protein structures/Protein sequences,02/23/2022 17:15:55,10.1371/journal.pone.0164649,ae4b3d28-aac1-4f6c-87b5-cd0f72a69674,Independent dataset,"Crisman TJ, Zelaya I, Laks DR, Zhao Y, Kawaguchi R, Gao F, Kornblum HI, Coppola G",,,,,xyv3h983ib,,Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.,,,63516fedb9c880af1f305b87,,2022-09-01T15:16:05.445Z,PLoS One,,,,PLoS One,2022-09-01T15:16:05.445Z,0,Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.,,,,Black box,0,,2016,True,ROC Curve,,,"Crisman TJ, Zelaya I, Laks DR, Zhao Y, Kawaguchi R, Gao F, Kornblum HI, Coppola G",02/23/2022 17:15:55,,,27855170,0.38
Class imbalance is compensated,,,03/16/2022 17:02:02,10.1038/ncomms11729,2882dbba-6819-442d-b027-50598cd5a0a6,Cross validation,"Schnoerr D, Grima R, Sanguinetti G",No but kernel: RBF,,,,yirxngqbuc,,Cox process representation and inference for stochastic reaction-diffusion processes.,,,63516fedb9c880af1f305b95,,2022-09-01T15:16:05.445Z,Nat Commun,,,Protocol is clear,Nat Commun,2022-09-01T15:16:05.445Z,0,Cox process representation and inference for stochastic reaction-diffusion processes.,Binary classification but evaluated a ranker: ROC,,,Black box,0,"100 pos, 2000 neg",2016,True,ROC curve,,,"Schnoerr D, Grima R, Sanguinetti G",03/16/2022 17:02:02,"Ensemble, incl. Adaboost Random Forrest, and SVM",,27222432,0.76
"No - unsupervised ML method, used to classify and no fitting is used for this. ","Avian pathogenic Escherichia coli (APEC) isolates were the primary data source and were collected through direct experimentation. 

272 APEC isolates were collected from the  UK (173), Germany (69) and Italy (30). These 272 isolates were then genetically characterised using multiplex polymerase chain reactions (PCRs) targeting 22 equally weighted factors covering virulence genes, R-type and phylogroup. This data was used for their ML approaches. 

95 of the 272 isolates were further analysed using Whole Genome Sequencing (WGS) to create whole genomes. This data was not used for their ML appraoches.","No - Apriori ML alogrithm does not use meta-predictions as an input. 

While Apriori doesn't use meta-predictors, other algorithms for association rule learning might leverage them:
SEuqential Miner (SEQUOIA)or Constraint-based association rule learning.",,10.1186/s12864-016-3289-7,4871c35e-fd51-4036-abbc-783f8f4ca99a,"The Apriori ML algorithm itself doesn't directly benefit from techniques like cross-validation typically used in supervised learning. 

The 22 equally weighted factors covering virulence genes, R-type and phylogroup predicted factor associations were used in a standard ML Apriori algorithm implementation. This is a novel dataset.","Guido Cordoni, Martin J. Woodward, Huihai Wu, Mishaal Alanazi, Tim Wallis and Roberto M. La Ragione",No - not applicable for this unsupervised ML method. No regularistaion is used.,,,"No, it seems no novel code was produced or shared if it was produced for the analysis. No GitHub or code repository linked. The primary ML related software used for the analysis is identified as the 'machine learning and data mining software WEKA' which is referenced in the text. (https://dl.acm.org/doi/10.1145/1656274.1656278)",23rrtkglve,No cross compaarison to other methods. From the text: Strong factor associations were reported (confidence 0.99):  1). ompT (protease) == > hylP (haemolysin) 2). IroN (siderophore) + ompT (proteases) == > hlyp (haemolysin) 3). ompT (proteases) + sitA (cell adhesion–metal ions binding== > hlyp (haemolysisn).  Significant factor associations were reported (confidence above 0.95): 4). IroN (siderophore) + sitA (cell adhesion–metal ions binding) == > hlyP (haemolysisn conf:(0.96) 5). cva/cvi (bacteriocin immunity) == > hlyP (haemolysisn) conf:(0.96) 6). hlyP (haemolysisn) + sitA (cell adhesion metal ions binding) == > iron (siderophore) conf:(0.95) 7). hlyp(haemolysisn) = 1 sitA (cell adhesion–metal ions binding) == > ompT (proteases) conf:(0.95).,Comparative genomics of European avian pathogenic E. Coli (APEC),"None - not applicable to Apriori ML model. They use transactional datasets, in this case the 22 PCR virulence factors are the constituents of the transactional dataset in relation to each of the 272 isolates.",,665a01aa37ea6fa797a6bd7d,"Apriori ML algorithm in WEKA software was used, leaving all the parameters on the default settings. ",2024-05-31T16:58:18.981Z,BMC Genomics,"Data relevant to the ML methods:
The PCR data was the determination of the presence of 22 equally weighted genetic factors covering virulence genes, R-type and phylogroup across 272 isolates. This data such as gene names, amplicon size in bp length and sequence 5′–3′ are available in tables in the text - Tables 1, 2 and 3. 

Data not relevant to the ML methods:
The WGS sequences can be found on European Nucleotide Archive (EMBL-EBI) with project accession number PRJEB11876 (ERP013295) and on the NCBI database.
ENA: http://www.ebi.ac.uk/ena/data/view/PRJEB11876
NCBI: https://www.ncbi.nlm.nih.gov/bioproject/PRJEB11876/  ",Information not provided for the text on the ML section. It is unlikely a HPC machine was needed to run the analysis as the software was released in the early 2000s and uses a user friendly graphical user interface.  ,"Provided a standard Apriori ML algorithm was implemented as indicated in the text, here are some of the key parameters that would be used:
Minimum Support 
Minimum Confidence 

Also sometimes used by the Apriori ML algorithm are:
Maximum Length 
Lift
",BMC Genomics,2024-05-31T16:58:18.981Z,,Comparative genomics of European avian pathogenic E. Coli (APEC),Classification model.,No ,Data was not split. No training data used due to unsupervised classification ML model used.,"Information and tutorials are available on the Apriori ML algorithm of the Weka software in online tutorials e.g. https://www.tutorialspoint.com/weka/weka_association.htm . As the default parameters were used, it is not a complete black box. However, the exact availability of the Weka tool's underlying code is not clear or easily available from the paper, e.g. no GitHub link. ",,No - no data split as unsupervised classification method used without labelled data included. ,2016,True,"Apriori is an unsupervised learning algorithm, the concept of performance measures in the traditional sense (like accuracy or precision) doesn't directly apply. ","No clear preprocessing was undertaken beyond standard data structuring for use in the ML alogrithm. 22 equally weighted factors covering virulence genes, R-type and phylogroup were checked for their presence in each of the 272 isolates. These DNA data virulence factors are available in spreadsheet like tables in the paper.",,"Guido Cordoni, Martin J. Woodward, Huihai Wu, Mishaal Alanazi, Tim Wallis and Roberto M. La Ragione",,"To determine virulence factor associations the in the PCR isolates data they used machine learning and data mining software WEKA. Within WEKA the Apriori ML algorithm was applied to the data.

This Apriori ML algorithm is not new, first proposed in 1994.",,27875980,0.95
,Imaging data produced by the same authors. 826 cells classified in 3 classes (no negative/positive binary classification).,,02/23/2022 16:01:54,10.1080/07391102.2016.1163294,36e9870f-9db6-4673-90a4-ad00c967c0bd,,"Jia CZ, He WY, Yao YH",,,,,ie0f3buyr4,,OH-PRED: prediction of protein hydroxylation sites by incorporating adapted normal distribution bi-profile Bayes feature extraction and physicochemical properties of amino acids.,100. Iterative feature selection removing features with Pearson’s correlation coefficient > 0.8. Performed on all data.,,63516fedb9c880af1f305b39,,2022-09-01T15:16:05.443Z,J Biomol Struct Dyn,The features table dataset has not been made available. Authors made available the imaging data at https://www.ebi.ac.uk/biostudies/ with accession number S-BIAD161. Authors also report that features were extracted from images with CellProfiler 3.1.8 and provide the list of morphological and contextual measurements extracted to generate the features table (Table B of http://journals.plos.org/ploscompbiol/article/asset?unique&id=info:doi/10.1371/journal.pcbi.1009193.s002http://journals.plos.org/ploscompbiol/article/asset?unique&id=info:doi/10.1371/journal.pcbi.1009193.s002 ),,Number of parameters not specificed. Hyperparameter tuning was performed using randomised search with K-fold cross-validation to optimise the model parameters ,J Biomol Struct Dyn,2022-09-01T15:16:05.443Z,0,OH-PRED: prediction of protein hydroxylation sites by incorporating adapted normal distribution bi-profile Bayes feature extraction and physicochemical properties of amino acids.,,,,Black box,0,90% training set 10% test set,2017,True,F1 score of 0.98,global features,,"Jia CZ, He WY, Yao YH",02/23/2022 16:01:54,Random forest,,26957000,0.52
,Provenance stated via references,,05/20/2022 17:19:51,10.1094/PHYTO-04-17-0162-R,d1a1ce81-ead9-4970-ba09-10e679dcfc03,Benchmarking over 3 datasets with scATAC-seq data,"Harteveld DOC, Grant MR, Pscheidt JW, Peever TL",,,,https://github.com/zji90/SCATE and release used at https://doi.org/10.5281/zenodo.3711558,lrlwou3dt7,p and q values,Predicting Ascospore Release of Monilinia vaccinii-corymbosi of Blueberry with Machine Learning.,,,63516fedb9c880af1f305b3e,,2022-09-01T15:16:05.443Z,Phytopathology,,1-2 days. running SCATE to reconstruct regulome approximately takes 5 minutes per cell cluster on a computer with 10 computing cores (2.5 GHz CPU/core) and a total of 20GB RAM.,Clusters number treated as a tuning parameter. Cross-validation approach to choose optimal K (looks like it was 5000 clusters),,2022-09-01T15:16:05.443Z,0,Predicting Ascospore Release of Monilinia vaccinii-corymbosi of Blueberry with Machine Learning.,,Across benchmarking datasets,Not applicable (it is a cluster approach),,0,Not applicable (it is a cluster approach),2017,True,,Trimming and segmentation over sequences,,"Harteveld DOC, Grant MR, Pscheidt JW, Peever TL",05/20/2022 17:19:51,Statistical analysis and clustering (K-means),,28696170,0.62
," 6132 pECG beats was used for training in three class: Control, Mild, Severe",,01/26/2022 11:27:05,10.1109/TCBB.2016.2586042,006ff363-6c34-4593-86af-0aa3b8af83d1,10-fold cross-validation,"Adl AA, Lee HS, Qian X",,,,,2so9xiaxer,,Detecting Pairwise Interactive Effects of Continuous Random Variables for Biomarker Identification with Small Sample Size.,,,63516fedb9c880af1f305b61,,2022-09-01T15:16:05.444Z,IEEE/ACM Trans Comput Biol Bioinform,,," multiple setup was tested, selected with : 5 hidden layers and 7 hidden neurons per layer,
",IEEE/ACM Trans Comput Biol Bioinform,2022-09-01T15:16:05.444Z,0,Detecting Pairwise Interactive Effects of Continuous Random Variables for Biomarker Identification with Small Sample Size.,,,,Black box,0,10-fold cross-validation,2017,True,"sensitivity, PPV, F1-score","pECG signal features:
(A) QRS duration, 
(B) QT interval, 
(C) ST deviation, 
(D) T wave duration, 
(E) QRS amplitude 
(F) T wave amplitude",,"Adl AA, Lee HS, Qian X",01/26/2022 11:27:05,neural network,,27362985,0.62
